accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,method,feature_size,train_time,threshold,pred_time,dataset
0.9973864750081672,0.9995573262505534,0.9934007919049714,0.9964695498676084,2258,3848,1,15,tf-idf_ngram,XGBoost,42,0.2,24487,6122,6.104124,tf-idf_ngram,29216,1.2430386449953037,0.5,0.0069591636720021,SQLiV3.tsv
0.9207775236850704,0.8328369322412509,0.9841619005719312,0.9021980237951198,2237,3400,449,36,tf-idf_ngram,MultinomialNB,42,0.2,24487,6122,6.104124,tf-idf_ngram,29216,0.0013468942704293,0.5,0.001238369813786,SQLiV3.tsv
0.980235217249265,0.9838129496402878,0.9626044874615046,0.9730931732265956,2188,3813,36,85,tf-idf_ngram,KNeighborsClassifier,42,0.2,24487,6122,6.104124,tf-idf_ngram,29216,0.0006607506023602,0.5,2.5267282260699115,SQLiV3.tsv
0.9918327344005228,0.9968708091193564,0.9810822701275846,0.9889135254988914,2230,3842,7,43,tf-idf,XGBoost,42,0.2,24487,6122,0.8844823000000019,tf-idf,21019,0.1177715563360149,0.5,0.0050046063377978,SQLiV3.tsv
0.982358706305129,0.9758241758241758,0.9766827980642324,0.9762532981530344,2220,3794,55,53,tf-idf,MultinomialNB,42,0.2,24487,6122,0.8844823000000019,tf-idf,21019,0.000480961326418,0.5,0.0002584939562231,SQLiV3.tsv
0.5530872263966025,0.4536907381476295,0.9978002639683238,0.6237623762376238,2268,1118,2731,5,tf-idf,KNeighborsClassifier,42,0.2,24487,6122,0.8844823000000019,tf-idf,21019,0.0001802752480908,0.5,0.7059533159098338,SQLiV3.tsv
0.9965697484482196,0.9960282436010591,0.9947113265755839,0.9953693495038589,2257,3844,9,12,tf-idf_ngram,XGBoost,20,0.2,24487,6122,7.265300499999995,tf-idf_ngram,29276,1.2643956262506635,0.5,0.005094821953608936,SQLiV3.tsv
0.9191440705651748,0.8287620459599704,0.9854561480828559,0.9003422589087982,2236,3391,462,33,tf-idf_ngram,MultinomialNB,20,0.2,24487,6122,7.265300499999995,tf-idf_ngram,29276,0.0012643811001754655,0.5,0.0012047860176408378,SQLiV3.tsv
0.9782750735053904,0.9793536804308797,0.9616571176729837,0.9704247275961753,2182,3807,46,87,tf-idf_ngram,KNeighborsClassifier,20,0.2,24487,6122,7.265300499999995,tf-idf_ngram,29276,0.0006771143872254351,0.5,2.4822031525645203,SQLiV3.tsv
0.9936295328324077,0.9973238180196253,0.9854561480828559,0.9913544668587896,2236,3847,6,33,tf-idf,XGBoost,20,0.2,24487,6122,0.912458799999996,tf-idf,21057,0.11679343733409589,0.5,0.0052119242077766385,SQLiV3.tsv
0.9800718719372754,0.971453667105841,0.9748788012340238,0.9731632204135504,2212,3788,65,57,tf-idf,MultinomialNB,20,0.2,24487,6122,0.912458799999996,tf-idf,21057,0.0004291991669052289,0.5,0.0003409016661226819,SQLiV3.tsv
0.5501470107807906,0.4516643412397847,0.998677831643896,0.6220148229481197,2266,1102,2751,3,tf-idf,KNeighborsClassifier,20,0.2,24487,6122,0.912458799999996,tf-idf,21057,0.00020074325152137485,0.5,0.6557262005880438,SQLiV3.tsv
